Thread 66: Line 19415: Jeremiah 19:4	For they have abandoned me, and they have made this place foreign, and they have offered libations in it to foreign gods, whom neither they, nor their fathers, nor the kings of Judah have known. And they have filled this place with the blood of the innocent.
Thread 66: Line 19424: Jeremiah 19:13	And the houses of Jerusalem and the houses of the kings of Judah will be unclean, just like the place of Topheth: all the houses on whose roofs they sacrificed to all the armies of heaven and poured out libations to strange gods.”
Thread 66: Line 19467: Jeremiah 22:9	And they will answer: ‘It is because they abandoned the covenant of the Lord their God, and they adored strange gods and served them.’
Thread 66: Line 19544: Jeremiah 25:6	And do not choose to go after strange gods, so that you would serve them and adore them. And do not provoke me to wrath by the works of your hands. And then I will not afflict you.
Thread 97: Line 28536: 1 Corinthians 8:5	For although there are things that are called gods, whether in heaven or on earth, (if one even considers there to be many gods and many lords)
Thread 50: Line 14596: Psalm 44:21	If we have forgotten the name of our God, and if we have extended our hands to a foreign god,
Thread 50: Line 14638: Psalm 47:9	The leaders of the peoples have been gathered together by the God of Abraham. For the strong gods of the earth have been exceedingly exalted.
Thread 50: Line 14673: Psalm 50:1	A Psalm of Asaph. The God of gods, the Lord has spoken, and he has called the earth, from the rising of the sun even to its setting,
Thread 35: Line 10102: 2 Kings 19:37	And while he was worshipping in the temple of his god, Nisroch, his sons, Adram-melech and Sharezer, struck him with the sword. And they fled into the land of the Armenians. And Esarhaddon, his son, reigned in his place.
Thread 35: Line 10166: 2 Kings 22:17	For they have abandoned me, and they have sacrificed to foreign gods, provoking me by all the works of their hands. And so my indignation will be kindled against this place. And it will not be extinguished.
Thread 23: Line 6552: Judges 2:3	For this reason, I am not willing to destroy them before your face, so that you may have enemies, and so that their gods may be your ruin.”
Thread 23: Line 6561: Judges 2:12	And they abandoned the Lord, the God of their fathers, who had led them away from the land of Egypt. And they followed foreign gods and the gods of the peoples who were living around them, and they adored them. And they provoked the Lord to wrath,
Thread 23: Line 6566: Judges 2:17	Fornicating with foreign gods and adoring them, they quickly deserted the way along which their fathers had advanced. And having heard the commandments of the Lord, they did all things to the contrary.
Thread 23: Line 6568: Judges 2:19	But after a judge had died, they turned back, and they were doing much worse things than their fathers had done, following strange gods, serving them, and adoring them. They did not abandon their pursuits and their very stubborn way, by which they were accustomed to walk.
Thread 23: Line 6578: Judges 3:6	And they took their daughters as wives, and they gave their own daughters to their sons, and they served their gods.
Thread 23: Line 6668: Judges 6:10	And I said: I am the Lord your God. You shall not fear the gods of the Amorites, in whose land you live. But you were not willing to listen to my voice.’ ”
Thread 23: Line 6689: Judges 6:31	But he responded to them: “Could you be the avengers of Baal, so that you fight on his behalf? Whoever is his adversary, let him die before the light arrives tomorrow; if he is a god, let him vindicate himself against him who has overturned his altar.”
Thread 23: Line 6756: Judges 8:33	But after Gideon died, the sons of Israel turned away, and they committed fornication with the Baals. And they struck a covenant with Baal, so that he would be their god.
Thread 23: Line 6767: Judges 9:9	And it responded, ‘How could I abandon my fatness, which both gods and men make use of, and depart to be promoted among the trees?’
Thread 23: Line 6785: Judges 9:27	departed into the fields, laying waste to the vineyards, and trampling the grapes. And while singing and dancing, they entered into the shrine of their god. And while feasting and drinking, they cursed Abimelech.
Thread 23: Line 6804: Judges 9:46	And when those living in the tower of Shechem had heard about this, they entered the temple of their god, Berith, where they had formed a covenant with him. And it was because of this, that the place had taken its name. And it was greatly fortified.
Thread 23: Line 6821: Judges 10:6	But the sons of Israel did evil in the sight of the Lord, joining new sins to old, and they served idols, the Baals and Ashtaroth, and the gods of Syria and Sidon, and of Moab and the sons of Ammon, and the Philistines. And they abandoned the Lord, and they did not worship him.
Thread 23: Line 6828: Judges 10:13	And yet you have forsaken me, and you have worshipped foreign gods. For this reason, I will not continue to free you any more.
Thread 23: Line 6829: Judges 10:14	Go, and call upon the gods whom you have chosen. Let them free you in the time of anguish.”
Thread 23: Line 6831: Judges 10:16	And saying these things, they cast out all the idols of the foreign gods from their regions, and they served the Lord God. And he was touched by their miseries.
Thread 53: Line 15461: Psalm 95:3	For the Lord is a great God and a great King over all gods.
Thread 53: Line 15473: Psalm 96:4	For the Lord is great and greatly to be praised. He is terrible, beyond all gods.
Thread 53: Line 15474: Psalm 96:5	For all the gods of the Gentiles are demons, but the Lord made the heavens.
Thread 53: Line 15491: Psalm 97:9	For you are the Most High Lord over all the earth. You are greatly exalted above all gods.
Thread 41: Line 11892: 2 Chronicles 32:13	Do you not know what I and my fathers have done to all the peoples of the lands? Have the gods of the nations and all the lands prevailed so as to free their region from my hand?
Thread 41: Line 11893: 2 Chronicles 32:14	Who is there, out of all the gods of the nations that my fathers destroyed, who is able to rescue his people from my hand, so that now also your God would be able to rescue you from this hand?
Thread 41: Line 11894: 2 Chronicles 32:15	Therefore, let not Hezekiah deceive or delude you with vain persuasion. And you should not believe him. For if no god out of all the nations and kingdoms was able to free his people from my hand, and from the hand of my fathers, consequently neither will your God be able to rescue you from my hand.”
Thread 41: Line 11896: 2 Chronicles 32:17	Also, he wrote letters full of blasphemy against the Lord God of Israel. And against him he said: “Just as the gods of other nations were unable to free their people from my hand, so also is the God of Hezekiah unable to rescue his people from this hand.”
Thread 41: Line 11898: 2 Chronicles 32:19	And he was speaking against the God of Jerusalem, just as against the gods of the peoples of the earth, which are works of the hands of men.
Thread 41: Line 11900: 2 Chronicles 32:21	And the Lord sent an Angel, who struck all the experienced men and warriors, and the leaders of the army of the king of the Assyrians. And he returned in disgrace to his own land. And when he had entered the house of his god, the sons who had gone forth from his loins killed him with the sword.
Thread 41: Line 11927: 2 Chronicles 33:15	And he took away the foreign gods, and the idol from the house of the Lord, and also the altars which he had made on the mount of the house of the Lord and in Jerusalem. And he cast all these things outside the city.
Thread 41: Line 11962: 2 Chronicles 34:25	For they have abandoned me, and they have sacrificed to foreign gods, so that they provoked me to wrath by all the works of their hands. Therefore, my fury will rain down upon this place, and it will not be extinguished.
Thread 41: Line 12027: Ezra 1:7	Likewise, king Cyrus offered the vessels of the temple of the Lord, which Nebuchadnezzar had taken from Jerusalem and had placed in the temple of his god.
Thread 17: Line 4768: Numbers 33:4	And these were burying their firstborn, whom the Lord had struck down (for so, too, did he carry out retribution against their gods).
